日付,場,レース名,馬名,予想期待値,投資判定,推奨額,適用要素,人気ランク,単勝オッズ,複勝オッズ,厩舎,騎手,着順,単勝払戻,複勝払戻,備考,複勝期待値,馬主
2026/04/11,福島,10R花見山特別,バシレイア,56.24,C,0,母父カナロア|次世代評価,C,7.4,2.0,西田雄一,武藤雅,9.0,0.0,0.0,【アンチG】【休み明け】【斤量据置】【古馬混合戦】【ハイペース】【ペースアップ】【上がりP30】【父ミッキーアイル】【母父ロードカナロア】【牝】【古馬】【内枠】【福島】【芝1200m】【同距離】【良】【継続騎乗】【前走凡走】【前走上がり平凡】,0.0,キャロットF
2026/04/11,福島,11R吾妻小冨士ステークス,ダンツエラン,78.4,C (見送り),0,父カナロア|カナロア牝馬ダ中距離(-25)|大幅距離延長(-20),D,39.2,8.3,本田優,黛,15.0,0.0,0.0,【アンチG】【芝→ダ】【短期休養】【斤量減】【古馬混合戦】【ハンデ戦】【大型馬】【上がりP50】【ペースダウン】【初ダート】【初距離】【初競馬場】【父ロードカナロア】【母父Into Mischief】【牝】【古馬】【外枠】【福島】【ダ1700m】【延長】【良】【乗り替わり】【前走凡走】【前走上がり平凡】,0.0,山本哲二
2026/04/11,阪神,11R阪神牝馬ステークス,ルージュソリテール,55.6,C (少頭数除外),0,父カナロア|先行展開|黄金A,D,11.3,2.4,藤原,西塚,3.0,0.0,270.0,【アンチG】【昇級戦】【中1週】【相手強化】【斤量減】【古馬混合戦】【別定戦】【牝馬限定戦】【スローペース】【小型馬】【テンP30】【父ロードカナロア】【母父ディープインパクト】【牝】【古馬】【内枠】【阪神】【芝1600m】【同距離】【良】【継続騎乗】【前走接戦】【前走上がり平凡】古馬になって初の重賞挑戦だったがスローペースをスムーズに先行して恵まれた,0.0,東京ホースレーシング
2026/04/12,福島,10R喜多方特別,ヒルノピレネー,75.6,C (見送り),0,母父カナロア,D,13.5,4.0,北出,亀田,12.0,0.0,0.0,【アンチG】【休み明け】【斤量据置】【古馬混合戦】【上がりP30】【父ジャスタウェイ】【母父ロードカナロア】【砂被り】【ペースダウン】【初ダート】【初距離】【初競馬場】【牡】【古馬】【内枠】【福島】【ダ1150m】【短縮】【良】【乗り替わり】【前走凡走】【前走上がり上位】,0.0,ヒルノ
2026/01/31,小倉,10R平尾台特別,ステラスプレンダー,36.52,C (見送り),0,父カナロア|カナ牝ダ中距離(-25),E,33.2,5.9,石坂公,小沢,14.0,0.0,0.0,【アンチG】【Eカナロア母集団】【昇級戦】【相手強化】【休み明け】【斤量据置】【古馬混合戦】【牝馬限定戦】【テンP30】【父ロードカナロア】【母父Equalize】【牝】【古馬】【内枠】【小倉】【ダ1700m】【同距離】【良】【継続騎乗】【前走接戦】【前走上がり平凡】昇級戦で差し決着の厳しい展開だったが先行力は見せた、次走狙い目,18.82,サンデーレーシング
2026/03/22,阪神,10Rレグルスステークス,ロードラビリンス,120.625,B,500,母父カナロア|血統特注(45),D,19.3,4.4,松下武,鮫島克,9.0,0.0,0.0,【アンチG】【休み明け】【斤量増】【古馬混合戦】【別定戦】【大型馬】【上がりP15】【父ミッキーアイル】【母父ロードカナロア】【牡】【古馬】【外枠】【阪神】【ダ1800m】【同距離】【良】【乗り替わり】【前走凡走】【前走上がり平凡】,79.75,ロードホースクラブ
2026/03/29,中山,11Rマーチステークス,レヴォントゥレット,83.83,C,0,父カナロア|内枠×先行|逃げ展開,C,10.1,3.4,矢作,M.ディー,15.0,0.0,0.0,【アンチG】【中2週】【叩き２戦目】【相手強化】【斤量減】【ハンデ戦】【古馬混合戦】【大型馬】【前走展開不利】【テンP15】【父ロードカナロア】【母父マンハッタンカフェ】【牡】【古馬】【内枠】【中山】【ダ1800m】【同距離】【稍重】【乗り替わり】【前走接戦】【前走上がり平凡】,81.838,前田晋
2026/01/24,小倉,11R小倉牝馬ステークス,インヴォーグ,20.57,C,0,父カナロア|逃げ展開|穴馬ブースト,E,13.9,3.3,福永,松若,6.0,0.0,0.0,【アンチG】【距離延長】【休み明け】【相手強化】【斤量減】【ハンデ戦】【古馬混合戦】【牝馬限定戦】【大型馬】【馬体大幅減】【テンP15】【ローテ不利】【ペースアップ】【父ロードカナロア】【母父マンハッタンカフェ】【牝】【古馬】【中枠】【小倉】【芝2000m】【延長】【良】【乗り替わり】【前走接戦】【前走上がり平凡】着順以上の好内容,14.16,飯田正
2026/04/18,福島,11Rラジオ福島賞,ステラスプレンダー,38.63999999999999,C,0,父カナロア|テンP15|逃げ不利(-25pt)|カナ牝ダ中距離(-25)|映像ブースト|穴馬ブースト,E,23.0,6.0,石坂公,亀田,13.0,0.0,0.0,【アンチG】【休み明け】【斤量減】【ハンデ戦】【古馬混合戦】【テンP15】【前走展開不利】【父ロードカナロア】【母父Equalize】【牝】【古馬】【外枠】【福島】【ダ1700m】【同距離】【良】【乗り替わり】【前走凡走】【前走上がり平凡】,25.2,サンデーレーシング
2026/04/18,中山,9R袖ヶ浦特別,ヴェナートル,84.00000000000001,C,0,母父カナロア|テンP15|内枠ボーナス|逃げ不利(-25pt)|映像ブースト|成長ブースト|穴馬ブースト|映像×成長シナジー,D,14.5,2.4,武藤,武藤,4.0,0.0,0.0,【アンチG】【中2週】【相手強化】【斤量増】【古馬混合戦】【大型馬】【テンP15】【前走展開不利】【父アルアイン】【母父ロードカナロア】【牡】【古馬】【内枠】【中山】【芝1200m】【同距離】【乗り替わり】【前走接戦】【前走上がり平凡】,31.500000000000007,落合幸
2026/04/18,阪神,11Rアンタレスステークス,ロードラビリンス,340.00000000000006,A,1200,母父カナロア|ロード×カナロア(牡/セ)ダート(+20)|血統特注(45)|テンP15|逃げ不利(-25pt)|映像ブースト|成長ブースト|穴馬ブースト|映像×成長シナジー,E,119.1,18.7,松下武,鮫島克,9.0,0.0,0.0,【アンチG】【中3週】【別定戦】【古馬混合戦】【大型馬】【斤量減】【ペースダウン】【テンP15】【父ミッキーアイル】【母父ロードカナロア】【牡】【古馬】【外枠】【阪神】【ダ1800m】【同距離】【良】【継続騎乗】【前走凡走】【前走上がり平凡】,197.2,ロードホースクラブ
2026/04/19,中山,11R皐月賞,アクロフェイズ,1049.9999999999998,A,3100,父カナロア|黄金A(ディープ)|西村淳也|穴馬ブースト,D,81.7,12.0,奥村豊,西村淳也,16.0,0.0,0.0,【アンチG】【中4週】【初G1】【斤量据置】【若駒戦】【前走C好走】【父ロードカナロア】【母父ディープインパクト】【牡】【若駒】【外枠】【中山】【芝2000m】【延長】【良】【継続騎乗】【前走接戦】【前走上がり平凡】【前走C好走】【低人気激走】【高速馬場×外回し沈没】,365.4,キャロットファーム
2026/03/15,中山,11RスプリングS,アクロフェイズ,57.11999999999999,C,0,父カナロア|短縮ショック|黄金A(ディープ)|西村淳也|映像ブースト|穴馬ブースト,D,17.0,2.900000000000002,奥村豊,西村淳也,3.0,0.0,470.0,【アンチG】【短期休養】【初重賞】【相手強化】【斤量据置】【若駒戦】【外回し】【スローペース】【ペースダウン】【初競馬場】【父ロードカナロア】【母父ディープインパクト】【牡】【若駒】【外枠】【中山】【芝1800m】【短縮】【良】【継続騎乗】【前走接戦】【前走上がり平凡】,28.257600000000014,キャロットファーム
2026/03/28,中山,9Rブラッドストーンステークス,ロードマイライフ,108.64,C,200,父カナロア|ロード×カナロア(牡/セ)ダート(+20)|テンP30|先行不利(-12pt)|穴馬ブースト,D,22.4,4.9,佐藤悠,佐々木,14.0,0.0,0.0,【アンチG】【芝→ダ】【短期休養】【斤量増】【古馬混合戦】【大型馬】【砂被り】【テンP30】【ハイペース】【ペースダウン】【初ダート】【初競馬場】【父ロードカナロア】【母父ジャングルポケット】【牡】【古馬】【中枠】【中山】【ダ1200m】【同距離】【重】【乗り替わり】【前走凡走】【前走上がり平凡】,68.91850000000001,ロードホースクラブ
2026/04/19,阪神,10R陽春ステークス,ロードマイライフ,63.0,C,0,父カナロア|ロード×カナロア(牡/セ)ダート(+20)|映像ブースト|穴馬ブースト,E,82.9,10.2,佐藤悠,田口,12.0,0.0,0.0,【アンチG】【中2週】【斤量減】【ハンデ戦】【古馬混合戦】【大型馬】【ハイペース】【ペースダウン】【父ロードカナロア】【母父ジャングルポケット】【牡】【古馬】【中枠】【阪神】【ダ1200m】【同距離】【良】【乗り替わり】【前走凡走】【前走上がり平凡】【初ダート凡走】【砂被り】【頭数減】【ダート2戦目巻き返し】,26.25,ロードホースクラブ
2026/04/12,阪神,7R４歳上２勝クラス,アスクキングコング,99.736,C,0,父カナロア|速度:標準|内外:フラット|前後:フラット|度外視可能(+10)|前壁|穴馬ブースト,E,109.6,9.5,梅田,岩田望,8.0,0.0,0.0,【速度:標準】【内外:フラット】【前後:フラット】【アンチG】【ダ→芝】【中1週】【斤量据置】【古馬混合戦】【度外視可能】【初距離】【延長】【ハイペース】【ペースアップ】【前壁】【父ロードカナロア】【母父アグネスタキオン】【セ】【古馬】【外枠】【阪神】【芝1600m】【良】【乗り替わり】【前走凡走】【前走上がり平凡】初1600mで前走よりテン3Fが0.8秒速く厳しい流れ。直線の仕掛けどころで狭くなって接触あり。次走条件好転で見直し。,21.612499999999997,廣崎利洋HD
2025/12/28,中山,10Rフェアウェルステークス,カウスリップ,81.19999999999999,C,0,父カナロア|差し有利(+12pt)|差し有利×差し(+5)|差し有利×前走展開不利見直し(+5)|速度:標準|内外:外有利|前後:差有利|度外視可能(+10)|前走展開不利|成長気配|穴馬ブースト,D,14.0,2.8,中館,横山和,10.0,0.0,0.0,【速度:標準】【内外:外有利】【前後:差有利】ハイペースで前崩れの外差し決着。逃げて直線一旦先頭も展開負けで失速。能力評価は保留。ペース緩和やうち有利条件なら見直し。,47.096,中村祐子
2026/04/25,福島,11R福島中央テレビ杯,カウスリップ,144.20000000000002,B,1100,父カナロア|短縮ショック|テンP30|先行不利(-12pt)|速度:標準|内外:フラット|前後:フラット|度外視可能(+10)|前走展開不利|成長気配|穴馬ブースト,D,16.0,4.2,中館,菊沢,5.0,0.0,0.0,【速度:標準】【内外:フラット】【前後:フラット】【アンチG】【休み明け】【斤量増】【古馬混合戦】【大型馬】【砂被り】【テンP30】【ハイペース】【ペースダウン】【初競馬場】【父ロードカナロア】【母父Sea The Stars】【牝】【古馬】【福島】【ダ1150m】【短縮】【良】【乗り替わり】【前走凡走】いつもの先行策取れず外枠だったが内に入れて砂被る厳しい競馬,104.54500000000002,中村祐子
2026/04/25,福島,9R雪うさぎ賞,ウォーターデライト,55.49999999999999,C,0,父カナロア|テンP15|逃げ不利(-25pt)|速度:標準|内外:フラット|前後:フラット|穴馬ブースト,D,15.0,5.0,高柳大,亀田,5.0,0.0,0.0,【速度:標準】【内外:フラット】【前後:フラット】【アンチG】【休み明け】【斤量増】【古馬混合戦】【大型馬】【砂被り】【テンP15】【ハイペース】【ペースダウン】【初競馬場】【父ロードカナロア】【母父Sea The Stars】【牝】【古馬】【福島】【ダ1150m】【短縮】【良】【乗り替わり】【前走凡走】いつもの先行策取れず外枠だったが内に入れて砂被る厳しい競馬,53.65,山岡正人
2026/04/25,福島,10R医王寺特別,シュブロンレーヴル,205.2,A,4700,母父カナロア|血統特注(35)|速度:標準|内外:フラット|前後:フラット|不利なし好走(+20)|低評価激走(+15)|成長ブースト|穴馬ブースト|映像×成長シナジー,C,12.0,3.5,杉山佳,小沢,11.0,0.0,0.0,【速度:標準】【内外:フラット】【前後:フラット】【アンチG】【短期休養】【斤量据置】【古馬混合戦】【小型馬】【外回し】【初競馬場】【父オルフェーヴル】【母父ロードカナロア】【牝】【古馬】【外枠】【福島】【芝1200m】【同距離】【良】【継続騎乗】【前走接戦】【高速芝1200対応】【着順以上に小差】【次走見直し候補】,173.56500000000003,篁真一
2026/04/26,福島,11Rモルガナイトステークス,シュタールヴィント,152.46,A,1500,父カナロア|黄金A(ディープ)|高速・内有利×内枠(+3)|速度:高速|内外:やや内|前後:やや前|穴馬ブースト,D,18.0,5.5,矢作,菱田,4.0,0.0,0.0,【速度:高速】【内外:やや内】【前後:やや前】【アンチG】【休み明け】【斤量減】【ハンデ戦】【古馬混合戦】【ペースアップ】【初競馬場】【父ロードカナロア】【母父ディープインパクト】【牡】【古馬】【内枠】【福島】【芝1200m】【同距離】【良】【乗り替わり】【前走凡走】【前走上がり平凡】【人気以上好走】【高速芝1200対応】【A判定妥当】,135.0965,社台レースホース
2026/04/26,福島,11Rモルガナイトステークス,ナナオ,187.6,A,2300,父カナロア|血統特注(35)|高速・内有利×内枠(+3)|速度:高速|内外:やや内|前後:やや前|度外視可能(+10)|砂被り|成長気配|穴馬ブースト,D,20.0,5.0,小栗実,舟山,13.0,0.0,0.0,【速度:高速】【内外:やや内】【前後:やや前】【アンチG】【ダ→芝】【休み明け】【斤量据置】【ハンデ戦】【古馬混合戦】【ペースアップ】【初競馬場】【父ロードカナロア】【母父オルフェーヴル】【牝】【古馬】【内枠】【福島】【芝1200m】【同距離】【良】【乗り替わり】【前走凡走】【芝戻り】【ペースアップ負荷】【押して逃げ】【度外視可能不発】【過剰評価A判定】,136.01000000000002,増田和啓
2026/05/02,東京,11R,キープカルム,80.78500000000001,C,0,父カナロア|短縮ショック|速度:高速|内外:フラット|前後:やや前|度外視可能(+10)|前壁|穴馬ブースト,D,15.1,3.3,中竹和也,荻野極,6.0,0.0,0.0,【速度:高速】【内外:フラット】【前後:やや前】【アンチG】【休み明け】【斤量減】【別定戦】【古馬混合戦】【馬体大幅減】【大型馬】【前壁】【ペースアップ】【初距離】【父ロードカナロア】【母父サクラバクシンオー】【牡】【古馬】【中枠】【東京】【芝1400m】【短縮】【良】【乗り替わり】【前走凡走】【前走上がり平凡】【G2ラベル過信禁止】【相手実質レベル要確認】【能力否定保留】【当日B判定】【最終オッズ再診断C】【判定乖離:B→C】【実投資あり】【最終オッズ確認課題】【期待値低下】【良い馬と良い投資は別】,51.1995,前田晋二
2026/05/03,新潟,10R邁進特別,スペルキャスター,42.78000000000001,C,0,父カナロア|短縮ショック|テンP30|先行不利(-12pt)|速度:標準|内外:外有利|前後:フラット|外回し|穴馬ブースト,D,9.3,3.1,蛯名利弘,小林凌大,5.0,0.0,0.0,【速度:標準】【内外:外有利】【前後:フラット】【アンチG】【休み明け】【斤量据置】【ハンデ戦】【古馬混合戦】【テンP30】【父ロードカナロア】【母父ゴールドアリュール】【牝】【古馬】【外枠】【新潟】【芝1000m】【短縮】【良】【乗り替わり】【前走凡走】,41.354000000000006,稲葉澄
2026/05/03,京都,8R御池特別,アスクキングコング,556.768,A,1000,父カナロア|前走度外視可能見直し(+5)|短縮ショック|梅田智之|高速・内有利×内枠(+3)|前有利×差し(-5)|速度:超高速|内外:やや内|前後:前有利|度外視可能(+10)|前壁|穴馬ブースト,E,219.2,37.9,梅田智之,荻野琢真,9.0,0.0,0.0,【速度:超高速】【内外:やや内】【前後:前有利】【アンチG】【中2週】【斤量据置】【古馬混合戦】【前走不利あり】【父ロードカナロア】【母父アグネスタキオン】【セン】【古馬】【内枠】【京都】【芝1200m】【短縮】【良】【乗り替わり】【前走凡走】【超大穴A判定】【単勝200倍超】【複勝30倍超】【ディープバリュー候補】【展開不一致でも期待値あり】【資金管理必須】,240.665,廣崎利洋HD
2026/05/03,京都,10R朱雀ステークス,ドゥアムール,119.16800000000003,B,100,父カナロア|テンP30|先行不利(-12pt)|前有利×先行(+3)|速度:超高速|内外:やや内|前後:前有利|不利なし好走(+20)|度外視可能(+10)|前走展開不利|成長気配|穴馬ブースト,E,53.2,9.0,中竹和也,角田大和,4.0,0.0,0.0,【速度:超高速】【内外:やや内】【前後:前有利】【アンチG】【短期休養】【斤量増】【古馬混合戦】【大型馬】【前走不利あり】【テンP30】【ペースアップ】【父ロードカナロア】【母父サクラバクシンオー】【牝】【古馬】【中枠】【京都】【芝1200m】【同距離】【良】【継続騎乗】【前走凡走】【超大穴B判定】【単勝50倍超】【馬券外4着】【前有利馬場で先行粘り】【単勝妙味型】【複勝期待値不足】【次走警戒】,58.464000000000006,前田葉子
2026/05/03,京都,10R朱雀ステークス,アスティスプマンテ,208.0,B,2700,父カナロア|テンP30|先行不利(-12pt)|黄金C(ダイワメジャー)|高速・内有利×外枠(-5)|前有利×先行(+3)|速度:超高速|内外:やや内|前後:前有利|不利なし好走(+20)|穴馬ブースト,C,20.8,3.2,佐藤悠太,戸崎圭太,10.0,0.0,0.0,【速度:超高速】【内外:やや内】【前後:前有利】,92.8,吉田勝己
2026/01/31,東京,6R3歳未勝利,モンサンドール,183.28,B,100,母父カナロア|速度:標準|内外:フラット|前後:フラット|穴馬ブースト,E,229.1,21.5,牧光二,木幡巧也,13.0,0.0,0.0,【速度:標準】【内外:フラット】【前後:フラット】【Eカナロア母集団】【未勝利】【休み明け】【斤量据置】【小型馬】【牝】【同距離】【良】【内枠】【東京】【芝1600m】【継続騎乗】【前走凡走】 母父ロードカナロア。タイプ:母父カナロア。父:イスラボニータ。人気E、単勝229.1、複勝21.5。東京芝1600。複勝期待値49.9%でディープバリュー候補なし。観察サンプル。,49.879999999999995,山下 新一
2026/01/31,小倉,12R４歳上１勝クラス,フェアリーグレン,158.07999999999998,B,200,父カナロア|速度:標準|内外:フラット|前後:フラット|穴馬ブースト,E,98.8,18.5,吉田直弘,松本大輝,9.0,0.0,0.0,【速度:標準】【内外:フラット】【前後:フラット】【１勝クラス】【休み明け】【斤量据置】【古馬混合戦】【小型馬】【ハイペース】【ペースアップ】【初競馬場】【牝】【古馬】【外枠】【小倉】【芝2000m】【延長】【良】【継続騎乗】【前走凡走】【Eカナロア母集団】 父ロードカナロア。タイプ:父カナロア。母父:ダンスインザダーク。金子真人ホールディングス。人気E、単勝98.8、複勝18.5。テンP・上がりPなし。映像評価は標準。ディープバリュー候補なし。観察サンプル。,85.83999999999999,金子真人ホールディングス
2026/02/01,東京,1R３歳未勝利,シカゴギャッツ,329.499,A,300,母父カナロア|短縮ショック|速度:標準|内外:フラット|前後:フラット|穴馬ブースト,E,354.3,50.7,新開幸一,原優介,16.0,0.0,0.0,【速度:標準】【内外:フラット】【前後:フラット】【休み明け】【斤量増】【大型馬】【初競馬場】【初距離】【牡】【若駒】【中枠】【東京】【ダ1400m】【短縮】【良】【乗り替わり】【前走凡走】【Eカナロア母集団】超大穴Aの観察サンプル。 母父ロードカナロア。タイプ:母父カナロア。父:エスポワールシチー。人気E、単勝354.3。東京ダ1400への短縮ショックでA判定。単勝期待値329.5%、複勝期待値136.7%。ただし前走15着6.5差で根拠は薄く、ディープバリュー候補なし。超大穴Aの観察サンプル。,136.73790000000002,高村 晶彦
2026/02/01,京都,2R３歳未勝利,オリヒメボシ,89.838,C,0,母父カナロア|速度:標準|内外:フラット|前後:フラット|馬群嫌がる|馬群耐性不安(-10)|穴馬ブースト,E,130.2,8.4,庄野靖志,佐々木大,14.0,0.0,0.0,【速度:標準】【内外:フラット】【前後:フラット】【未勝利】【テンP50】【斤量据置】【小型馬】【前走不利あり】【馬群嫌がる】【ペースダウン】【牝】【若駒】【内枠】【京都】【ダ1200m】【同距離】【良】【乗り替わり】【前走凡走】【Eカナロア母集団】 母父ロードカナロア。タイプ:母父カナロア。父:ニューイヤーズデイ。人気E、単勝130.2。京都ダ1200。前走は3角前に外から寄られて嫌がり後退、今回は馬群で狭くなり首を上げて後退。不利続きで着順だけでは評価しにくいが、揉まれ弱さ・馬群耐性不安あり。C判定、単勝期待値89.8%、複勝期待値14.5%で見送り。小頭数、大外枠、外目スムーズ条件で再注目。ディープバリュー候補なし。条件付き観察サンプル。,14.490000000000002,辻川 弘
2026/02/07,東京,1R３歳未勝利,ファーストシーン,491.5820000000001,A,700,母父カナロア|短縮ショック|速度:標準|内外:フラット|前後:フラット|穴馬ブースト,E,270.1,36.2,大和田成,杉原誠人,10.0,0.0,0.0,【速度:標準】【内外:フラット】【前後:フラット】【未勝利】【芝→ダ】【短期休養】【斤量据置】【牝馬限定戦】【ハイペース】【初ダート】【初距離】【中枠】【東京】【ダ1400m】【短縮】【良】【継続騎乗】【前走凡走】【Eカナロア母集団】 母父ロードカナロア。タイプ:母父カナロア。父:オルフェーヴル。馬主:小田吉男。人気E、単勝270.1、複勝36.2。前走中山芝2000で16着、着差4.1、上がり37.1。今回は東京ダ1400への大幅短縮・条件替わり。短縮ショックと穴馬ブーストでA判定、単勝期待値491.6%、複勝期待値191.1%。ただし前走芝でも先行力がなく末脚も平凡で、現状は能力不足。結果10着。血統的には晩成寄りで今後の成長待ち。ディープバリュー候補なし。超大穴Aの失敗サンプル。,191.0636,小田吉男
2026/02/07,東京,7R３歳１勝クラス,ピュール,311.52,A,500,母父カナロア|速度:標準|内外:フラット|前後:フラット|穴馬ブースト,E,194.7,31.5,久保田貴,佐々木大,12.0,0.0,0.0,【速度:標準】【内外:フラット】【前後:フラット】【１勝クラス】【斤量据置】【若駒戦】【小型馬】【ローテ不利】【ペースダウン】【初距離】【初競馬場】【牡】【中枠】【東京】【ダ1400m】【延長】【良】【乗り替わり】【前走凡走】【Eカナロア母集団】 母父ロードカナロア。タイプ:母父カナロア。父:ダノンプレミアム。馬主:中村祐子。生産者:ケイアイファーム。人気E、単勝194.7。2走前は芝→ダの初ダートで大外枠から外を回しつつ徐々に進出し、直線差し切って12人気1着。外枠スムーズ条件で変わり身を見せた点は評価。ただし勝ち時計は平凡で、昇級後の前走は中山ダ1200で9着、着差2.2。今回は東京ダ1400への延長でA判定、単勝期待値311.5%、複勝期待値126.0%。結果12着。終始後方で直線外に出しても伸びず、延長ローテは不利だった可能性があるが、1勝クラスでは力負け。ディープバリュー候補なし。オッズ妙味型Aの失敗サンプル。,126.0,中村 祐子
2026/02/08,小倉,7R４歳上１勝クラス,ハッピービバーク,136.73000000000002,B,100,母父カナロア|テンP30|先行(展開平均)|カナ牝ダ中距離(-25)|速度:標準|内外:フラット|前後:フラット|穴馬ブースト,E,124.3,17.7,嘉藤貴行,舟山瑠泉,14.0,0.0,0.0,【速度:標準】【内外:フラット】【前後:フラット】【１勝クラス】【テンP30】【中1週】【斤量減】【古馬混合戦】【牝馬限定戦】【ペースダウン】【初距離】【古馬】【内枠】【小倉】【ダ1700m】【良】【継続騎乗】【前走凡走】【Eカナロア母集団】 母父ロードカナロア。タイプ:母父カナロア。父:ルヴァンスレーヴ。人気E、単勝124.3、複勝17.7。前走小倉ダ1000から小倉ダ1700への700m延長。テンP30で先行力はあり、今回も逃げる形は作れたが、4コーナーで手応えがなくなり直線失速。距離延長・ダート中距離適性が大きな壁になった。B判定だが複勝期待値48.7%、最終スコア55ptで信頼度は低め。ディープバリュー候補なし。大幅延長失敗サンプル。,48.675,中村 伊三美
2026/02/10,東京,8R４歳上２勝クラス,バロン,171.84,B,400,父カナロア|手塚貴久|速度:標準|内外:フラット|前後:フラット|穴馬ブースト,E,89.5,10.8,手塚貴久,長浜鴻緒,10.0,0.0,0.0,【速度:標準】【内外:フラット】【前後:フラット】【短期休養】【斤量据置】【古馬混合戦】【大型馬】【ペースダウン】【初距離】【牝】【古馬】【内枠】【東京】【ダ1300m】【稍重】【継続騎乗】【前走凡走】【Eカナロア母集団】 父ロードカナロア。タイプ:父カナロア。母父:Tapit。人気E、単勝89.5、複勝10.8。東京ダ1300。B判定、単勝期待値171.8%、複勝期待値60.1%。結果10着。前走は外を回すロスがあり、今回は1200mから1300mへの延長ローテかつ内枠でスムーズさを欠いた可能性あり。ただし大きく見直すほどの内容ではなく、次走で短縮戻り・外枠・スムーズ先行なら軽く再観察。ディープバリュー候補なし。条件付きメモ。,60.1344,藤田 晋
2026/02/10,東京,11R東京新聞杯,メイショウチタン,458.3119999999999,A,1800,父カナロア|テンP15|逃げ(展開平均)|本田優|速度:標準|内外:フラット|前後:フラット|前走展開不利|穴馬ブースト,E,97.1,15.6,本田優,吉田豊,14.0,0.0,0.0,【速度:標準】【内外:フラット】【前後:フラット】【Eカナロア母集団】 父ロードカナロア。人気E、単勝97.1。A判定。結果14着。前目で運んだが、上がりの速い差し・追い込み馬が上位を占める展開で厳しかった。大きく見直すほどではなく、ディープバリュー候補なし。,213.5328,松本 好隆
2026/02/10,京都,8R４歳上２勝クラス,スペルキャスター,152.8,B,200,父カナロア|速度:標準|内外:フラット|前後:フラット|穴馬ブースト,E,95.5,14.6,蛇名利弘,森田誠也,11,0.0,0.0,【速度:標準】【内外:フラット】【前後:フラット】【Eカナロア母集団】 父ロードカナロア。タイプ:父カナロア。母父:ゴールドアリュール。人気E、単勝95.5、複勝14.6。京都芝1200。B判定、単勝期待値152.8%、複勝期待値58.4%。結果11着、1.1差。ハイペースで外を回すロスはあったが、着差と内容から大きく見直すほどではない。ディープバリュー候補なし。観察サンプル。,58.4,稲場 澄
